crop_name,region,season,soil_type,weather_condition,rainfall_mm,temperature_c,humidity_percent,fertilizer_used_kg,market_demand,supply_quantity,crop_price
Cotton,East,Summer,Sandy,Humid,377.01550287593057,21.195503795910454,31.92670744419392,139.36939733953665,7075.306672936202,1895.9845900724638,3984.4832362970665
Barley,West,Spring,Peaty,Humid,323.07122389986654,39.620806136060025,31.9702008378074,206.76235434941137,4158.673939456314,2484.2317056111906,1907.1328898594468
Soybean,Central,Spring,Sandy,Humid,275.3465209840414,35.60697511634138,73.29571025091053,272.08580441271937,4072.058984801937,1528.4274624440498,3155.2824499471963
Cotton,East,Spring,Sandy,Rainy,90.88431088424294,21.638990001514728,41.587634629363194,209.4837485911876,9916.756595555518,3361.765199675262,3423.9723081041393
Maize,North,Winter,Sandy,Dry,180.8067308910136,37.417497366880994,69.13190773152338,191.46431377740214,7469.332504536576,7900.498885505656,1334.6319940840267
Millet,West,Spring,Peaty,Cold,98.59457489179485,20.279061748845134,62.794554647487274,192.30736368905207,5624.755406650463,1707.7053335052099,2525.3198165350027
Soybean,Central,Autumn,Sandy,Humid,358.4244563629298,30.037045382045783,88.9076682842774,174.11517773084637,6214.380858978216,6732.32364399349,3135.7801800127704
Soybean,North,Autumn,Silty,Humid,312.367404447275,38.99949990046338,80.12435273298374,251.89510035111377,6581.643683669298,5389.10053754804,3609.3334384770023
Cotton,North,Monsoon,Silty,Dry,315.1378753790302,21.70836591965657,54.78807127988097,62.60601959034549,1221.1785904675774,618.6059795889466,3686.393497205827
Rice,North,Spring,Peaty,Humid,278.28978122074045,30.396548953148013,66.9847692055899,271.2824769823319,1722.3813147272283,7586.676447032751,2750.6085749458207
Maize,North,Spring,Clayey,Humid,227.4652379278484,18.877714331878998,37.03736743352832,196.57305506141068,6842.704162209866,7783.184489187385,2054.842880448672
Cotton,East,Summer,Silty,Rainy,102.48987081222401,17.98936946793924,53.18316257774286,262.2183053139371,4280.219729634823,7436.755263961575,3878.7589267357284
Maize,East,Winter,Loamy,Moderate,165.39321034676811,27.224699992946558,74.03326446539245,52.59817563605213,1498.9963620873255,4263.047432802753,1115.343043690869
Maize,East,Monsoon,Silty,Dry,97.9205273669117,39.377937940996546,67.36029504771922,267.3191009904044,3677.6192144646348,2152.813868569092,1972.176889289063
Millet,Central,Spring,Loamy,Dry,303.7195999983201,23.594015461605096,59.06827946264147,80.03437979331672,2172.5507837925115,3434.4850810286107,2415.5880315698937
Soybean,Central,Summer,Peaty,Dry,106.08007160770177,38.12910910949742,40.591746243160145,230.3045015980998,9246.824580036891,5106.436598121733,2764.5971371854585
Barley,Central,Winter,Clayey,Rainy,295.7397425600899,37.43090560734285,78.18875556945268,154.13034822196093,2826.3285329780356,3341.272856880873,1522.6975231983859
Millet,South,Monsoon,Loamy,Rainy,292.2893863585666,17.612878370349843,46.38999626469462,220.2680977744811,2293.220776546472,5811.287381522621,2316.958952685452
Millet,Central,Monsoon,Loamy,Cold,210.7565676469511,22.054582212529823,79.22874489971457,207.04743441934104,6635.519353797549,6466.816608323888,2954.702062674502
Maize,East,Spring,Silty,Rainy,97.3300289413183,29.299074354825493,66.69654376769961,90.84913676681046,5697.207372491494,2070.4467398604324,1337.6826108918697
Sugarcane,East,Monsoon,Loamy,Dry,160.18028914691286,25.54137653234175,52.36388567692725,178.65344111188796,6183.392086322127,3537.0643121210037,1123.3537079336127
Soybean,South,Summer,Peaty,Cold,162.032588176443,12.87875589589523,32.43631331759949,119.30761829863519,4923.5333323628365,7683.082820195449,2342.9175567705133
Rice,South,Monsoon,Peaty,Moderate,295.1347966001527,39.81094090381475,43.94513066066261,190.10921071200312,5204.523798389166,2373.5510094697847,2319.327991123712
Millet,Central,Autumn,Peaty,Humid,89.81005679480351,32.5796200363384,83.34425552928982,234.500820763211,8009.178002624166,3098.3561644582173,1999.776425615376
Barley,West,Summer,Silty,Humid,340.17402617563175,23.130821146741354,79.07846063374305,70.31460364545947,2979.2996634310066,767.4537788897921,1894.6565326369046
Sugarcane,South,Winter,Clayey,Cold,316.35255156506986,28.54505648998874,64.49119877604588,178.94060588275633,4568.763725481107,2992.7453082770103,1685.6041622784414
Sugarcane,North,Winter,Silty,Moderate,115.20742136099587,12.627184517986905,57.979347837727616,204.4074551905646,9620.428464351544,3281.9854857807695,2075.436616557134
Rice,East,Spring,Peaty,Humid,301.7075336226113,24.8590496106883,68.82856075980655,123.84186339930346,2709.8713106744067,1248.7666972011675,3080.793589835965
Millet,North,Spring,Silty,Cold,283.9796135137376,37.92497247452464,57.97488767059809,288.2508706990018,3643.9623553768038,510.81687488717927,2679.2788502297967
Barley,East,Autumn,Peaty,Rainy,311.8422800388242,36.89802874164935,68.65829044314842,180.07570637670736,2724.102318573915,4815.5411327653255,2284.9211722877853
Soybean,East,Winter,Sandy,Dry,116.12499440704306,20.12142536449437,48.44424597960948,95.62927246148318,1184.4594672232206,2761.449509965391,2579.066620327806
Wheat,South,Winter,Sandy,Moderate,105.15661275476401,25.941035914640164,80.3098330746885,76.94706544982101,3428.4693253750333,633.6787794506905,1881.1511629498773
Barley,South,Winter,Loamy,Humid,132.76939507296396,30.921505722629405,72.115073607916,185.4148872913414,1418.2070136601526,6949.582279753846,1225.051090159115
Rice,North,Winter,Clayey,Dry,178.05509610214148,20.20027800723716,49.79853770566151,143.80959528173224,2392.1661376597003,4883.072577999807,1937.2933195204891
Sugarcane,East,Monsoon,Sandy,Cold,327.7827433625304,11.946376542818154,79.83996688940647,98.13677444209617,4264.1386306085315,1783.7626286886534,1539.4045755133955
